user,created_at,latitude,longitude,text
holyhegemony,Wed Mar 15 19:48:20 +0000 2017,,,'@BrandonS002 lol at the idea of nyu making the sweet sixteen'
jessiethe3rd,Wed Mar 15 19:14:05 +0000 2017,40.80776,-73.96544,'When you really don't know know WTF you are doing...  Put. The. Wrench. Down. Sir. @ Columbia… https://t.co/j5I51Wbocc'
venuzdelmar,Wed Mar 15 18:54:48 +0000 2017,40.7142,-74.0064,'NYU Tisch Grad Musical Theatre Writing Program.... I got accepteeeeeeeeeeeeeeed......… https://t.co/GrYe9icqdR'
venuzdelmar,Wed Mar 15 18:53:39 +0000 2017,40.7142,-74.0064,'NYU Grad Musical Theatre Writing Program.... I got accepteeeeeeeeeeeeeeed......… https://t.co/GrYe9icqdR'
indahnuria,Wed Mar 15 18:21:56 +0000 2017,40.74594,-73.97877,"'Antri dokter plus Lupron injection dan kelaparaaaan heheee..
… (w/ Rudi at NYU Clinical Cancer Center) [pic] — https://t.co/NLyvEIiBuN'"
CUPostdocs,Wed Mar 15 18:15:56 +0000 2017,,,'Great workshop on #SciComm and public engagement by @Simona_Giunta from @Know_Science Thanks for coming @Columbia… https://t.co/0l1tCkySVU'
amyharvard_,Wed Mar 15 17:59:15 +0000 2017,,,"'Omg I want in. We just need Kal Penn, someone with the last name of Dartmouth, Columbia and Yale https://t.co/vB6IOrzhi3'"
indahnuria,Wed Mar 15 17:46:54 +0000 2017,40.74589,-73.97875,"'First thing first 😇😇😇

My favorite phlebotomist ngg masuk lagi… (w/ Rudi at NYU Clinical Cancer Center) [pic] — https://t.co/Ko78uw0Dsl'"
Elizabeth__2018,Wed Mar 15 17:42:39 +0000 2017,,,'The town around NYU is so gorgeous I want to cry'
PhilippeCorbe,Wed Mar 15 17:33:38 +0000 2017,,,'À Columbia https://t.co/eLXVvdIfni'
matt_weiss__,Wed Mar 15 17:11:38 +0000 2017,,,'@Jo_nahhh (Columbia U tho)'
RyanBethencourt,Wed Mar 15 17:01:22 +0000 2017,,,'We're about to get started here at @Columbia  and we're looking forward to meeting all the PhDs interested spinning… https://t.co/Llgdc8K42R'
notbrynna,Wed Mar 15 16:48:52 +0000 2017,,,'I get it that I *CHOSE* to live near Columbia hospital but I swear every ambulance is dispatched exactly when I need to take calls.'
Columbia_CCAA,Wed Mar 15 16:32:02 +0000 2017,,,"'Out for once last ice skate in @CentralParkNYC? You might find Ashley Walker Green CC'05, coach of @CentralParkIce:… https://t.co/K05RR4xWsM'"
ETineo212,Wed Mar 15 16:22:16 +0000 2017,,,'Presidente de Columbia  Pide Perdón por Fondos de #Odebrecht !. En #Dominicana fuel El Único País Q Le Dijo Q No  @DaniloMedina  jajaja'
erickmarincr,Wed Mar 15 16:12:18 +0000 2017,,,'C40 Exec. Dir. @MarkWatts40 wraps up the day with a Press Conference #Women4Climate @c40cities @Columbia https://t.co/dFJ4qpDbno'
SeishinNY,Wed Mar 15 16:06:23 +0000 2017,,,'#Women4Climate conferencia liderazgo mujeres revolución ambiental participan @Columbia ex alcalde Bloomberg #NYC… https://t.co/veVBO8hJuS'
SeishinNY,Wed Mar 15 15:52:58 +0000 2017,,,'¡Buen dia #NYC! Asi amanece tras #nevadas #blizzard2017 ❄️ @Columbia https://t.co/unw8ZiSoNS'
SoffiaAlarcon,Wed Mar 15 15:34:39 +0000 2017,,,"'Curbing climate change could cost 700 billion annually
@wef #MayaLin #women4climate @c40cities @Columbia… https://t.co/8KHPhYm0xE'"
SoffiaAlarcon,Wed Mar 15 15:26:55 +0000 2017,,,"'Women are social innovators. We create change
#Women4Climate @c40cities @Columbia @CarbonTrust_Mex @thecarbontrust… https://t.co/yMmi4sbF1x'"
Michele_SABBAN,Wed Mar 15 15:03:57 +0000 2017,40.80776,-73.96544,'Repost @cyriellehariel   #femmessanteclimat #livreblanc #r20 @ Columbia University https://t.co/OVC0c1RnXW'
louie_bloo,Wed Mar 15 14:55:27 +0000 2017,,,"'Me, crying when I first saw Columbia https://t.co/IZbDqKDbeU'"
aliciadoug,Wed Mar 15 14:16:36 +0000 2017,,,'Beautiful view this morning coming in for #Women4Climate 👠💄@Columbia @LOrealUSA @c40cities @nycgov #cities4climate… https://t.co/6qA5ZFHJt9'
Michele_SABBAN,Wed Mar 15 14:13:33 +0000 2017,40.80776,-73.96544,'À la conférence Women4climate avec Anne Hidalgo presidente du C40 @ Columbia University https://t.co/FxsNlLLKY4'
AttiWorku,Wed Mar 15 14:03:49 +0000 2017,40.808889,-73.961667,'Such an honor to tell my story at @c40cities #Women4Climate conference at @columbia about how… https://t.co/AGcj1nTFuu'
AndrewB_Realtor,Wed Mar 15 14:01:41 +0000 2017,40.8412178,-73.94236836,"'I'm at New York-Presbyterian/Columbia University Medical Center - @nyphospital in New York, NY https://t.co/IJ540APlOY'"
